title,authors,paper_url,github_url,github_stars,published_date,source_url,source
IRWOZ 2.0: A Large Language Model-driven Dialogue Dataset for Industrial Robot Conversations,Chen Li; Dimitrios Chrysostomou,http://arxiv.org/abs/2609.04030v1,,,2026-09-03T16:08:57Z,http://arxiv.org/abs/2609.04030v1,arXiv
Influence of Extruded Filament Shape on Buildability in 3D Concrete Printing: A Geometry-Informed Deep Learning-FEM Approach,Giacomo Rizzieri; Saif-Ur-Rehman; Jörg F. Unger; Annika Robens-Radermacher,http://arxiv.org/abs/2609.04028v1,,,2026-09-03T16:08:19Z,http://arxiv.org/abs/2609.04028v1,arXiv
Instruction Duplication as an Inference-Time Control Primitive,Victor Lavrenko,http://arxiv.org/abs/2609.04024v1,,,2026-09-03T16:05:21Z,http://arxiv.org/abs/2609.04024v1,arXiv
Representational alignment yields generalizable safety in language models,Lingyu Li; Yan Teng; Yingchun Wang; Xia Hu,http://arxiv.org/abs/2609.04022v1,,,2026-09-03T16:00:16Z,http://arxiv.org/abs/2609.04022v1,arXiv
FLY-EVAL++: An Evidence-Driven Evaluation Protocol for Safety-Constrained Flight Prediction with Large Language Models,Yalun Wu; Junfeng Fang; Jiawei Wang; Haotian Liu; Qijun Yang; Minghan Yang; Hongcheng Guo; Zhoujun Li; Boyang Wang,http://arxiv.org/abs/2609.04021v1,,,2026-09-03T16:00:02Z,http://arxiv.org/abs/2609.04021v1,arXiv
InSituMeasure: Probing Situated Measurement Grounding in Industrial Scenes with Multimodal Large Language Models,Chao Shen; Xinyuan Li; Yunfan Zhou; Jianguo Yao; Haibing Guan; Zhihai Wang; Xijun Li,http://arxiv.org/abs/2609.04014v1,,,2026-09-03T15:54:21Z,http://arxiv.org/abs/2609.04014v1,arXiv
LLM4CKD: Large Language Models for Early Stage Chronic Kidney Disease Screening,Muhammad Ashad Kabir; Sirajam Munira,http://arxiv.org/abs/2609.04013v1,,,2026-09-03T15:53:20Z,http://arxiv.org/abs/2609.04013v1,arXiv
The Blind Spot in 2D Infants' Pose Estimation:Robust Learning from Noisy Annotations,Emanuele Cardinale; Marco Proietti; Alessandro Cacciatore; Maria Francesca Spadea; Lucia Migliorelli; Sara Moccia,http://arxiv.org/abs/2609.04009v1,,,2026-09-03T15:47:56Z,http://arxiv.org/abs/2609.04009v1,arXiv
The Dually Flat Geometry of Planning as Inference,Nikola Milosevic; Asaki Kataoka; Nicolas Hinrichs; Kenji Doya; Nico Scherf,http://arxiv.org/abs/2609.04005v1,,,2026-09-03T15:44:47Z,http://arxiv.org/abs/2609.04005v1,arXiv
Catalogue Photography as a Cold Start: Toward Deployable Carbide Burr Recognition,Abilash Philip Madavath; Chandra Yuvesh Aubeeluck; Augustin Raju; Nicolas Pyschny; Felix Hackelöer; Florian Zwanzig,http://arxiv.org/abs/2609.03995v1,,,2026-09-03T15:36:12Z,http://arxiv.org/abs/2609.03995v1,arXiv
Common-Witness Certificates and Sharp Feature Bounds for Counterfactual Image Auditing,Usef Faghihi; Amir Saki,http://arxiv.org/abs/2609.03973v1,,,2026-09-03T15:09:52Z,http://arxiv.org/abs/2609.03973v1,arXiv
Investigating the Ability of Large Language Models to Analyze Recipes for Diabetes,Revathy Venkataramanan; Aditya Luthra; Venkatesan Nadimuthu; Amit Sheth,http://arxiv.org/abs/2609.03967v1,,,2026-09-03T15:03:36Z,http://arxiv.org/abs/2609.03967v1,arXiv
Interface-Induced Trajectory Censoring,Wenbo Wang,http://arxiv.org/abs/2609.03966v1,,,2026-09-03T15:00:31Z,http://arxiv.org/abs/2609.03966v1,arXiv
FiMI Banking: A Sovereign Model for Indian Retail Banking,NPCI AI Research Team; Aman Kumar; Asit Desai; Chandra Bhushan; Harsh Sharma; Harshit Bhushan; Hrithik Kadam; Keyur Doshi; Kolisetty Sai Kapardheeswar; Krishanu Adhikary; Nadeem Shaik; Navya Prakash; Nitin Kukreja; Prashant Devadiga; Shamanth MH; Shantanu Pandey; Suvradip Paul; Yatharth Dedhia,http://arxiv.org/abs/2609.03960v1,,,2026-09-03T14:56:59Z,http://arxiv.org/abs/2609.03960v1,arXiv
